cgpa,technical_score,aptitude_score,communication_score,internship_count,project_count,experience_months,leadership_score,cultural_fit_score,success
5.45,73,97,8,2,6,0,6,2,1
9.18,64,42,8,0,6,5,4,7,1
6.6,46,61,6,3,3,22,9,8,1
5.93,91,45,7,3,2,22,1,7,1
5.2,43,41,6,2,2,22,2,7,0
7.95,98,62,9,3,4,31,4,5,1
8.39,47,83,3,2,1,29,3,2,0
5.08,59,41,3,1,1,12,1,6,0
7.56,68,77,3,4,6,17,5,4,0
6.13,93,56,3,1,6,22,7,2,0
8.23,92,74,9,2,5,14,2,9,1
5.87,90,73,4,2,7,32,5,7,1
8.45,84,62,7,1,4,20,6,6,1
6.93,85,69,9,0,7,22,7,5,1
9.68,49,91,7,0,7,26,1,3,1
5.69,82,47,9,0,3,17,7,4,1
6.71,73,61,3,2,7,23,4,3,0
5.57,96,83,4,3,3,6,8,8,0
9.62,65,97,8,2,7,19,4,3,1
9.39,80,75,6,3,4,26,6,7,1
6.29,88,44,5,1,3,5,9,7,0
8.3,97,52,4,4,1,26,5,7,1
9.09,42,68,8,3,3,8,4,7,1
7.78,95,70,1,0,3,30,8,2,0
7.65,45,86,9,2,4,20,9,3,1
6.21,44,96,1,1,4,25,4,9,0
5.47,44,94,8,0,3,12,3,3,0
9.49,93,55,4,1,2,22,8,2,1
9.5,86,81,9,4,4,19,5,9,1
8.17,62,69,5,2,5,27,2,9,1
6.7,88,96,3,2,5,16,9,4,0
6.75,48,94,9,4,1,27,3,9,1
8.63,74,55,9,2,7,1,2,3,1
9.49,59,51,4,3,3,24,1,7,1
9.44,97,56,4,1,2,5,8,7,0
8.9,88,55,8,0,1,10,3,8,1
8.21,98,51,2,4,3,5,7,4,0
5.42,81,47,9,3,4,10,1,3,1
5.81,74,59,6,0,5,13,1,3,0
9.49,89,42,9,0,6,1,9,5,1
8.03,57,55,8,4,2,2,8,1,1
5.05,56,69,7,3,6,34,3,3,1
5.51,63,84,1,0,5,32,6,6,0
8.32,42,62,3,0,7,23,3,3,0
5.03,71,67,2,3,7,18,4,5,0
5.8,74,90,5,2,6,17,1,9,0
7.74,77,79,5,0,4,23,5,2,0
8.46,52,93,5,1,3,34,1,2,1
8.26,95,44,4,3,4,0,1,6,0
6.12,86,59,5,0,6,35,7,6,1
8.56,64,79,3,4,4,24,6,8,0
6.19,48,95,1,1,5,33,2,2,0
6.63,43,83,5,0,2,24,2,9,0
8.73,53,40,9,1,4,15,7,2,1
8.25,76,96,9,1,5,33,1,1,1
9.25,73,69,4,2,2,28,2,2,1
8.29,50,60,3,1,7,18,8,7,0
7.84,80,59,1,2,3,22,6,8,0
5.47,95,45,2,3,6,18,2,5,0
6.84,42,61,8,2,7,24,7,6,1
6.33,98,57,1,4,3,15,4,1,0
6.22,67,47,8,0,7,8,2,6,1
9.87,68,78,7,3,1,0,6,8,1
6.97,48,71,8,3,7,18,9,3,1
9.46,42,72,6,4,5,32,9,1,1
8.16,64,92,9,2,2,33,8,4,1
8.97,73,55,3,0,7,15,3,1,0
7.51,51,51,4,2,4,17,3,8,0
7.88,81,77,6,1,3,33,2,5,1
7.46,48,91,8,2,7,24,5,1,1
5.98,54,73,5,3,2,5,4,8,0
8.61,79,53,3,0,5,20,7,9,0
6.4,64,75,6,2,1,5,4,2,0
5.12,44,72,4,0,3,31,9,9,0
8.23,50,62,9,0,6,30,2,8,1
5.89,98,89,3,1,2,9,6,7,0
9.7,73,84,4,1,6,29,7,3,1
9.77,63,41,7,3,2,17,4,2,1
9.57,99,80,7,4,2,23,6,7,1
6.85,54,60,4,0,5,8,7,5,0
5.08,77,41,6,4,5,30,4,6,1
9.64,47,66,3,3,5,14,8,4,0
7.14,98,96,6,0,7,3,9,2,0
9.83,44,48,2,0,4,8,1,9,0
9.82,87,40,8,4,2,8,7,3,1
9.27,65,50,2,2,3,25,9,7,0
6.47,57,42,7,1,6,3,5,8,0
6.93,45,91,9,2,5,16,2,2,1
9.26,76,62,1,4,7,15,6,6,0
6.58,99,65,8,1,5,14,7,8,1
5.85,87,43,7,2,6,34,2,7,1
7.78,52,57,6,1,6,4,2,3,0
9.68,67,94,6,0,2,4,1,1,0
8.48,44,45,6,2,5,19,4,6,1
7.85,52,74,9,1,6,14,7,8,1
5.49,56,61,2,1,4,17,9,6,0
8.08,89,82,1,1,4,1,3,5,0
9.95,79,54,6,2,5,28,7,8,1
5.7,84,61,8,3,7,12,7,2,1
7.59,71,99,3,2,6,3,7,1,0
9.39,68,76,1,4,2,9,2,1,0
8.7,90,91,9,2,2,30,6,4,1
8.49,97,81,1,1,7,7,2,6,0
8.51,42,51,3,0,2,2,6,9,0
6.8,95,86,8,2,1,8,3,1,1
6.47,79,88,3,2,5,29,2,1,0
9.05,73,81,4,1,2,10,6,5,0
9.05,79,77,8,0,4,34,2,5,1
9.34,66,57,1,0,6,12,5,5,0
9.57,52,84,6,4,3,35,2,6,1
7.56,84,74,1,2,7,12,3,8,0
7.51,72,69,1,0,3,11,3,3,0
8.99,45,63,8,0,2,9,6,9,1
8.25,63,81,4,3,3,8,6,1,0
8.51,58,69,1,3,3,6,3,4,0
8.98,55,53,7,0,1,1,3,9,0
9.45,79,45,5,4,4,22,1,8,1
6.69,67,42,5,0,7,20,7,9,0
6.88,72,55,1,1,4,22,8,1,0
5.47,98,46,6,2,1,28,2,9,1
7.89,98,91,9,4,1,13,4,3,1
5.18,87,53,9,1,3,25,7,9,1
7.33,80,48,8,4,5,4,8,1,1
7.71,52,54,5,1,6,30,1,1,0
6.43,82,60,1,2,6,24,4,9,0
7.95,84,74,9,2,3,30,6,6,1
5.15,64,41,1,3,6,19,3,4,0
5.19,92,66,8,1,1,16,5,7,1
9.11,81,41,5,3,4,1,9,5,1
6.8,75,74,3,1,6,24,3,7,0
5.64,66,57,7,3,7,12,5,8,1
7.61,77,53,7,2,3,27,8,8,1
8.85,99,59,9,4,5,5,6,1,1
6.08,46,57,7,3,3,2,4,8,0
8.11,44,49,3,1,2,34,8,6,0
5.43,82,64,1,1,3,17,3,4,0
5.26,84,41,8,2,1,10,3,8,1
7.66,97,64,3,1,4,19,4,3,0
7.7,96,93,8,0,4,4,9,4,1
8.19,90,72,8,4,7,18,5,6,1
8.63,70,75,5,3,6,21,8,7,1
9.88,62,70,1,4,1,18,6,4,0
7.58,81,53,7,2,2,15,3,4,1
6.61,49,40,5,3,1,23,8,7,0
8.98,71,85,8,3,3,3,9,6,1
6.35,82,55,9,0,1,14,8,8,1
7.19,92,93,7,2,1,24,4,1,1
5.39,69,85,7,1,7,34,6,7,1
5.13,78,91,1,0,2,13,1,7,0
9.81,70,42,4,0,3,18,4,7,0
9.18,57,74,2,4,5,35,8,7,0
8.48,75,80,2,4,7,6,1,8,0
7.04,41,45,2,4,5,29,3,9,0
5.87,53,64,4,0,7,18,1,9,0
5.78,52,52,1,1,4,24,9,2,0
6.25,68,92,4,3,7,15,2,7,0
7.75,51,73,2,4,6,7,9,7,0
8.57,78,47,5,1,1,17,4,4,1
8.3,41,60,3,2,4,27,2,9,0
6.4,71,73,8,4,2,15,4,8,1
9.77,52,43,4,3,5,18,6,1,0
8.69,85,64,1,2,7,16,7,2,0
7.77,66,54,1,2,1,12,3,2,0
8.06,88,43,3,3,2,6,3,8,0
7.1,80,84,9,4,6,26,8,1,1
6.24,56,99,7,0,2,9,5,4,0
6.78,79,51,2,3,1,33,4,5,0
8.79,70,71,9,3,6,35,7,9,1
5.07,73,71,2,3,2,24,7,7,0
5.58,99,67,3,2,6,5,9,8,0
5.23,63,52,2,1,7,23,9,9,0
5.2,84,70,3,0,7,17,5,7,0
9.28,74,53,6,4,1,22,8,5,1
8.52,87,59,9,4,1,5,1,5,1
7.37,45,57,9,1,6,28,9,6,1
5.49,58,68,7,3,3,24,8,5,1
7.46,69,99,3,0,4,16,6,9,0
7.37,46,45,4,4,2,23,3,3,0
5.87,49,71,6,4,2,10,3,3,0
7.17,80,68,5,3,3,25,8,7,1
6.99,71,82,2,1,3,33,5,7,0
8.08,73,41,6,0,3,27,7,6,1
8.18,67,99,3,1,5,2,5,3,0
5.23,99,62,8,1,5,10,8,7,1
6.87,54,58,2,0,6,13,4,5,0
8.13,69,70,1,0,5,25,2,7,0
7.52,76,90,9,4,7,20,3,2,1
9.28,68,44,3,4,7,29,8,6,1
8.29,61,58,1,0,1,7,7,8,0
5.81,43,73,7,2,6,19,2,1,0
5.35,59,49,5,4,2,31,6,4,1
8.21,71,64,5,2,4,21,9,1,1
5.13,75,41,1,0,1,6,4,1,0
7.93,89,50,9,4,2,8,9,8,1
9.7,43,89,7,1,2,0,2,7,0
7.88,66,70,8,0,6,28,2,1,1
6.94,56,95,9,3,3,7,9,2,1
8.22,51,54,6,2,3,3,7,4,0
7.29,61,48,5,0,1,34,7,1,0
7.73,56,62,6,0,3,2,1,3,0
9.71,49,58,2,4,2,6,6,8,0
6.93,93,48,4,4,3,26,7,8,1
9.81,40,74,3,4,5,0,6,8,0
9.53,61,60,7,3,3,26,6,6,1
5.98,65,48,9,4,2,15,2,6,1
5.35,95,67,5,0,6,6,6,5,0
5.5,98,85,6,4,1,22,4,9,1
5.09,57,90,2,1,4,10,9,4,0
5.47,89,46,3,4,3,32,1,7,1
8.42,53,55,3,3,7,35,8,1,0
5.36,86,55,9,1,7,16,5,9,1
6.59,68,99,7,0,2,34,1,7,1
9.22,51,72,8,0,4,4,4,9,1
5.12,75,43,9,2,4,31,1,7,1
9.07,98,43,6,1,5,2,6,2,1
6.41,74,78,4,2,4,34,2,6,1
5.59,91,79,1,1,7,13,5,4,0
8.48,51,56,8,1,6,30,7,3,1
8.14,46,76,7,3,2,30,2,2,1
9.39,68,78,2,2,2,16,6,6,0
8.68,50,99,8,3,3,23,6,8,1
9.02,72,91,5,1,3,22,5,6,1
6.41,45,68,7,0,3,17,5,9,0
5.89,86,91,4,1,7,13,3,5,0
8.75,54,75,5,3,7,14,2,2,0
9.03,71,99,8,2,7,14,7,8,1
9.95,90,77,1,2,7,5,1,9,0
7.06,50,78,1,3,7,26,6,4,0
6.86,97,89,4,2,7,14,6,6,1
8.88,62,76,3,4,6,35,3,8,1
6.7,65,91,2,0,7,7,2,9,0
9.65,73,74,3,0,4,14,2,5,0
9.29,85,46,1,0,4,2,9,6,0
7.14,73,66,1,2,5,12,5,4,0
8.75,68,67,6,2,6,33,7,5,1
8.77,43,61,5,1,3,23,5,7,0
5.52,56,53,8,1,1,31,7,9,1
9.51,74,46,2,0,7,31,4,6,0
7.53,52,76,4,4,5,29,8,6,1
9.13,80,61,8,1,1,12,7,8,1
6.6,78,44,6,1,4,0,5,4,0
9.48,54,94,1,2,5,33,6,3,0
6.95,94,41,4,4,5,14,5,7,1
5.05,68,66,1,0,2,13,7,5,0
9.53,68,60,2,1,4,28,2,2,0
5.46,50,93,5,4,4,33,5,2,1
6.6,91,77,8,4,6,17,3,6,1
9.75,71,54,8,0,5,6,9,8,1
9.75,41,60,3,4,7,28,6,1,0
7.87,86,49,4,4,4,30,3,6,1
8.16,53,62,6,4,5,24,7,2,1
7.24,59,97,3,1,6,13,4,2,0
6.47,61,95,2,0,7,7,3,7,0
6.64,50,78,6,4,6,26,8,1,1
8.36,66,44,5,4,2,1,4,6,0
8.76,42,40,5,1,7,16,1,7,0
8.96,56,52,5,0,5,13,6,8,0
8.95,83,60,5,2,4,24,1,7,1
5.46,95,65,3,1,4,29,5,6,0
7.47,67,89,7,0,5,28,7,9,1
5.29,68,84,6,4,5,19,6,3,1
7.75,60,60,4,0,5,20,2,6,0
7.21,86,92,2,0,3,21,4,4,0
9.44,55,57,9,0,7,34,2,2,1
6.75,76,76,1,2,4,15,1,1,0
5.59,98,84,4,0,7,16,3,1,0
5.71,59,71,1,2,6,15,3,3,0
8.81,45,75,6,4,4,1,7,4,0
8.09,58,56,4,2,3,3,1,2,0
5.51,96,74,5,4,5,20,9,1,1
5.42,44,88,5,4,2,33,6,4,1
8.5,42,99,9,2,5,29,4,7,1
5.36,98,50,1,1,5,5,3,6,0
9.11,40,60,2,3,3,16,3,6,0
8.53,97,91,6,0,7,24,2,9,1
5.41,99,94,5,3,4,4,2,2,1
5.42,77,92,7,0,5,4,5,4,0
9.93,54,65,3,0,4,19,9,5,0
6.87,73,43,3,4,1,15,2,1,0
6.85,74,73,2,0,6,8,2,8,0
9.06,88,91,3,0,7,4,6,8,0
9.74,64,87,1,2,4,1,2,6,0
9.93,63,99,5,3,2,8,4,5,1
8.77,51,57,5,2,6,35,6,8,1
6.88,57,79,7,0,2,21,5,3,1
5.42,54,74,4,4,5,21,1,3,0
8.89,83,80,3,2,6,21,6,2,0
7.79,55,68,1,2,4,33,1,5,0
7.12,66,91,8,1,6,28,3,3,1
9.53,47,68,3,0,5,32,5,3,0
5.56,99,77,2,4,3,17,5,6,0
7.46,85,81,4,2,7,6,6,8,0
5.06,64,60,3,2,2,0,8,2,0
7.34,56,81,1,4,5,32,5,4,0
5.28,68,52,3,0,3,0,1,7,0
5.59,92,88,2,1,6,23,5,1,0
5.59,47,80,8,2,6,3,3,1,0
8.25,54,56,6,1,5,3,4,7,0
8.73,66,95,9,3,4,17,8,7,1
7.92,85,48,8,0,6,26,7,1,1
9.81,89,80,3,3,4,31,5,1,1
6.87,91,40,5,3,4,32,2,4,1
6.43,46,41,7,3,7,27,6,5,1
9.34,42,99,5,0,4,35,6,5,0
6.12,68,87,8,0,1,5,6,4,0
9.82,83,68,5,4,7,15,9,8,1
5.06,92,72,1,1,3,33,8,7,0
9.85,63,49,5,1,3,22,8,9,1
5.22,99,89,4,4,6,23,1,7,1
9.46,97,97,6,4,6,12,5,1,1
7.64,42,99,3,3,4,17,7,7,0
9.96,59,79,5,4,7,12,6,1,1
5.37,85,60,2,2,7,16,5,7,0
7.77,54,67,6,1,1,14,8,8,0
9.85,64,50,6,4,4,17,3,9,1
7.62,69,94,5,2,1,22,6,3,1
8.15,53,73,6,2,4,29,5,4,1
8.48,46,47,7,2,2,33,8,4,1
7.27,56,98,5,2,2,3,4,9,0
8.14,83,61,1,3,5,2,8,7,0
7.92,59,47,8,2,4,6,2,3,1
9.51,75,88,4,3,7,17,9,5,1
5.23,48,54,9,3,6,6,9,7,1
6.4,77,56,6,2,3,5,6,8,0
9.75,87,99,1,1,5,21,4,1,0
9.45,96,62,3,2,6,0,4,2,0
7.28,99,63,3,2,2,3,6,7,0
8.1,61,84,4,2,4,28,5,2,0
6.39,93,58,6,1,5,20,6,7,1
5.94,92,44,7,0,4,25,7,9,1
7.32,92,71,4,0,2,13,7,2,0
6.77,41,83,6,3,5,8,9,7,0
7.92,63,40,1,3,2,11,8,4,0
5.39,47,62,8,1,1,5,6,2,0
9.87,50,76,7,4,2,19,6,7,1
9.93,52,47,9,0,7,23,5,5,1
8.49,56,52,3,3,7,26,1,1,0
7.68,47,47,2,0,4,7,9,5,0
6.55,60,96,1,1,3,0,9,3,0
9.07,57,62,3,1,2,23,9,7,0
8.42,69,82,5,4,6,6,8,6,1
5.81,57,40,2,4,7,18,3,8,0
9.55,85,84,3,1,3,21,1,5,0
9.11,86,90,4,3,1,34,8,2,1
9.75,70,63,7,0,5,29,7,9,1
8.63,77,74,3,2,5,28,5,8,1
8.07,71,63,9,4,7,21,7,6,1
7.09,50,56,8,2,3,10,4,7,1
9.66,84,44,4,3,7,19,9,9,1
9.33,64,59,1,4,5,28,2,7,0
5.23,72,60,1,2,2,33,9,3,0
5.13,99,79,1,3,3,0,9,6,0
6.88,77,97,1,0,4,30,5,7,0
9.05,80,70,8,3,2,29,1,2,1
9.94,47,85,3,4,2,17,7,3,0
5.75,50,75,6,1,2,16,4,4,0
7.97,61,50,3,0,4,13,9,6,0
6.9,90,91,5,2,1,22,6,1,1
9.85,63,54,7,4,6,24,3,9,1
9.21,80,58,2,1,7,14,6,5,0
9.19,56,46,6,3,5,21,6,7,1
7.34,51,90,6,1,7,2,5,9,0
7.07,96,67,3,4,3,18,2,9,1
6.37,85,90,6,4,1,33,2,1,1
5.28,71,82,5,1,3,34,7,1,1
9.32,54,97,2,3,7,0,2,3,0
9.06,55,44,9,1,5,20,6,6,1
10.0,93,44,8,4,4,28,5,2,1
9.98,61,69,3,4,7,5,4,1,0
7.78,67,93,8,2,2,0,7,1,1
8.84,59,71,9,2,7,0,8,5,1
9.72,72,47,3,0,2,26,4,4,0
9.25,49,49,3,4,4,20,1,1,0
6.24,79,77,2,2,7,15,1,4,0
7.25,71,86,8,1,1,25,1,3,1
5.65,89,71,1,3,1,15,1,2,0
9.77,99,87,8,1,3,27,5,9,1
8.03,72,67,7,3,4,0,4,1,1
6.14,41,56,7,2,1,35,9,7,1
8.36,72,70,3,0,7,9,3,4,0
8.09,72,47,1,1,4,16,7,5,0
6.79,80,79,4,1,5,22,8,5,0
5.57,52,64,9,1,2,6,6,1,1
8.36,69,48,5,3,7,6,1,6,0
7.6,72,41,1,2,2,14,8,9,0
8.86,52,54,5,1,2,33,3,2,1
7.6,91,89,8,1,4,3,8,7,1
9.26,65,42,8,0,4,13,4,6,1
7.76,61,88,5,0,3,13,8,5,0
7.8,78,75,9,2,2,15,1,4,1
9.38,41,43,1,2,3,6,3,4,0
7.02,77,53,4,4,2,31,6,6,1
5.67,78,80,3,0,3,18,9,4,0
5.14,65,80,2,4,3,1,2,5,0
8.78,85,64,8,3,5,9,1,6,1
8.1,97,97,7,4,3,16,3,5,1
8.52,89,94,9,1,4,11,4,7,1
6.06,54,89,2,4,3,5,5,9,0
5.68,73,49,4,2,2,21,3,7,0
5.07,81,60,6,3,3,31,2,7,1
6.75,94,75,3,1,1,19,2,4,0
7.95,83,51,8,4,6,0,7,1,1
6.96,88,66,3,3,2,5,9,8,0
7.19,79,79,2,3,1,18,2,4,0
9.52,50,41,3,1,2,17,7,1,0
6.74,42,93,6,4,4,5,7,5,0
7.57,98,52,2,3,6,32,7,8,1
8.92,45,92,8,3,6,22,3,4,1
6.98,48,71,1,0,4,22,7,8,0
8.11,45,70,7,3,6,25,1,8,1
9.31,48,55,2,0,4,12,1,3,0
9.75,78,71,6,4,1,6,5,9,1
5.74,70,71,2,4,5,14,2,3,0
9.63,71,99,2,4,2,26,9,1,1
7.46,80,73,8,2,4,25,7,2,1
6.29,89,50,2,4,2,32,4,6,1
7.3,51,49,7,3,1,14,4,2,1
9.9,47,54,3,1,5,35,2,6,0
7.46,47,56,8,0,1,26,5,1,1
6.64,89,79,7,2,6,4,4,1,1
8.17,67,57,8,4,2,1,1,5,1
6.2,59,94,7,4,7,32,8,9,1
5.38,86,48,6,1,5,15,3,8,1
5.64,98,64,7,1,6,22,6,3,1
5.64,46,79,5,2,5,15,4,3,0
5.76,50,98,7,0,6,13,9,1,0
5.69,59,53,1,4,1,28,7,3,0
8.2,55,99,1,2,4,25,9,1,0
5.91,43,97,9,3,2,34,3,8,1
6.73,45,64,5,3,3,14,1,1,0
9.48,97,89,5,2,3,2,5,5,1
7.37,61,61,3,4,1,22,3,9,0
8.34,65,91,5,2,2,28,6,7,1
5.86,42,69,3,4,2,33,8,4,0
5.96,80,59,9,1,1,32,4,9,1
5.2,99,60,9,2,2,22,5,9,1
5.84,81,83,6,4,4,6,5,2,1
6.39,53,71,1,2,1,2,4,6,0
5.89,50,90,7,2,4,31,4,4,1
5.44,57,85,7,4,2,30,4,8,1
5.6,93,88,4,4,1,17,4,7,1
7.3,51,95,8,0,2,6,4,7,0
6.03,62,60,6,2,1,0,5,9,0
6.82,51,74,4,3,2,13,2,5,0
7.52,52,97,4,2,4,31,2,6,0
8.45,64,71,2,2,7,5,9,1,0
5.2,84,69,2,4,4,9,2,6,0
9.0,90,94,4,2,2,6,6,2,0
8.14,97,78,5,2,1,25,2,6,1
5.41,58,88,8,3,3,33,5,9,1
9.37,94,51,6,4,4,29,4,8,1
9.6,85,80,4,2,4,35,7,9,1
5.31,75,86,7,1,6,20,7,8,1
6.38,84,57,8,0,3,16,6,3,1
9.03,47,60,2,3,2,32,5,8,0
8.74,68,52,7,2,7,9,1,6,1
5.92,94,60,2,1,1,11,3,6,0
6.05,92,47,2,2,6,15,9,6,0
6.85,94,85,8,2,2,31,1,3,1
7.42,71,79,2,4,5,14,5,1,0
8.09,90,85,9,4,7,26,2,4,1
6.84,83,46,1,4,4,27,4,6,0
7.31,57,62,9,1,5,16,1,2,1
8.74,45,83,1,2,4,1,3,7,0
5.18,57,71,2,0,4,35,7,7,0
6.26,58,50,6,3,5,6,3,4,0
8.57,61,61,6,4,7,12,4,4,1
